EB_inkap_x_inkap,EB_inkap_x_reckap,EB_rot_inkap_x_reckap,EB_reckap_x_reckap,EB_rot_reckap_x_reckap
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
2.8700768722507105e-08,3.603636711540696e-08,3.097344032745837e-08,5.4327878981101444e-08,4.239157175943977e-08
3.2083960020049176e-08,5.179366851093683e-08,4.880563662410845e-08,8.912322814565645e-08,8.291268954615598e-08
7.771517992989256e-08,5.5769090006218225e-08,5.219384446095788e-08,6.814264999428294e-08,6.55953783249288e-08
2.4329943989125483e-07,2.7121380307005125e-07,2.774894265596345e-07,3.276928947196012e-07,3.435935183549519e-07
8.945349170015599e-08,8.179315648870208e-08,7.943483043498578e-08,9.413600819193299e-08,9.230560421312819e-08
1.680444909396711e-07,1.5419330473235488e-07,1.5948869996466849e-07,1.7180746623307683e-07,1.764145063684107e-07
2.424202879591314e-07,2.3747272794655586e-07,2.4212978592654713e-07,2.537223693523773e-07,2.621212234845513e-07
1.441248523126647e-07,1.403614510156467e-07,1.4208683885080393e-07,1.5543819776551682e-07,1.6226898530605543e-07
1.4421723637352452e-07,1.2123696661408867e-07,1.2736290733487337e-07,1.1420926594821667e-07,1.3039627965380552e-07
1.9277340739949967e-07,1.9912714156855505e-07,2.043007852656968e-07,2.2187760230727995e-07,2.3577137443965484e-07
3.42931193082497e-07,3.725777607788598e-07,3.7102418199845356e-07,4.2528803984520076e-07,4.1904434292489026e-07
1.7045952669424473e-07,1.8670328553343422e-07,1.909126356441898e-07,2.250980316100557e-07,2.418342846757869e-07
2.6191617198095165e-07,2.5192117931349466e-07,2.5063792014741497e-07,2.562944910929636e-07,2.5394124286792387e-07
2.0909657526496308e-07,2.0002916277912727e-07,1.975055344378606e-07,2.1102333627705375e-07,2.1245592210131336e-07
1.1580260433664562e-07,1.2351586717373564e-07,1.2290447992826382e-07,1.496699320818142e-07,1.4947325089633194e-07
2.317292381270912e-07,2.2351766182135696e-07,2.2058490275269682e-07,2.2787501184577117e-07,2.2497204797518725e-07
1.3959764965105179e-07,1.3109840297906448e-07,1.328615696519417e-07,1.4506168222738088e-07,1.504286794153936e-07
2.509804222311908e-07,2.3891666595718344e-07,2.390175560965433e-07,2.4545256497543547e-07,2.4868322411005057e-07
1.9358742545698728e-07,1.8522199030478694e-07,1.8939995087866488e-07,2.004515576553116e-07,2.1165141712994152e-07
2.4102032055781235e-07,2.363327009784445e-07,2.364879098306427e-07,2.4764810327183106e-07,2.500463835723934e-07
1.4388960814191342e-07,1.309260633468257e-07,1.3082874700786382e-07,1.3663074042214286e-07,1.3809733180009912e-07
1.078263733556422e-07,1.0607586021927847e-07,1.0621406014071183e-07,1.2424076088517723e-07,1.2988469036068472e-07
2.2012750956650248e-07,2.231565993273287e-07,2.1865268548377507e-07,2.534296239673887e-07,2.459073062521386e-07
2.966555463212668e-07,3.1616833754782873e-07,3.069247284589438e-07,3.5868919304338956e-07,3.4091092666708823e-07
1.6989421347701958e-07,1.5948293921375294e-07,1.6430159236203558e-07,1.6697644761207403e-07,1.777430822798464e-07
2.0568778154326272e-07,2.0495441597842263e-07,2.0485071507999775e-07,2.1357685279508497e-07,2.1374027603382036e-07
